,Name,Variant,Transmission,km_driven,Owner_Type,Fuel,Price,Age
248,Maruti IGNIS,SIGMA 1.2 K12,Manual,18645,1st Owner,Petrol,466099,4
249,Maruti Baleno,DELTA 1.2 K12,Manual,64181,1st Owner,Petrol,480449,5
250,Maruti Baleno,ZETA 1.2 K12,Manual,30672,1st Owner,Petrol,647999,4
251,Maruti Alto,VXI,Manual,37786,1st Owner,Petrol,346054,3
252,Mahindra Scorpio,S9,Manual,26121,1st Owner,Diesel,1513099,2
253,Hyundai GRAND,SPORTZ PETROL,Manual,16489,1st Owner,Petrol,676399,2
254,Honda WR-V,1.2 i-VTEC S MT,Manual,39333,1st Owner,Petrol,648099,5
255,Tata NEXON,XZ+ 1.5,Manual,6694,1st Owner,Diesel,1261699,1
256,Maruti IGNIS,ALPHA 1.2 K12 AMT,Automatic,25350,1st Owner,Petrol,670699,3
257,Hyundai Eon,MAGNA PLUS,Manual,43616,2nd Owner,Petrol,305699,7
258,Maruti S,VXI PLUS AGS,Automatic,2258,1st Owner,Petrol,528499,2
259,Tata Tiago,XE 1.2 REVOTRON,Manual,33114,1st Owner,Petrol,425099,4
260,MG HECTOR,SHARP DCT PETROL,Automatic,33016,1st Owner,Petrol,1804899,2
261,Hyundai Grand,SPORTZ 1.2 KAPPA VTVT,Manual,19577,1st Owner,Petrol,428299,6
262,Tata Safari,XE 2.0 KRYOTEC,Manual,17534,1st Owner,Diesel,1536799,1
264,Maruti Wagon,LXI,Manual,18671,1st Owner,Petrol,424499,4
265,Hyundai GRAND,SPORTZ 1.2 AT,Automatic,15206,1st Owner,Petrol,725899,3
266,Hyundai Tucson,2WD AT GLS PETROL,Automatic,38848,1st Owner,Petrol,2139499,3
268,Mahindra XUV500,W8 FWD,Manual,84279,2nd Owner,Diesel,969399,5
269,Mahindra Thar,LX D 4*4 MT HT,Manual,10292,1st Owner,Diesel,1673799,1
270,Ford Ecosport,1.5 TITANIUM TI VCT,Manual,53040,1st Owner,Petrol,701099,6
271,Maruti Baleno,DELTA 1.2 K12,Manual,26114,1st Owner,Petrol,525199,6
272,Toyota Glanza,G CVT,Automatic,8225,1st Owner,Petrol,930899,1
273,Maruti Celerio,VXI,Manual,25646,1st Owner,Petrol,432099,5
274,Hyundai Creta,1.6 SX AT CRDI,Automatic,42396,1st Owner,Diesel,1603199,2
275,Maruti Vitara,VXI,Manual,42315,2nd Owner,Petrol,792799,2
276,Tata Hexa,Varicor 400 XM,Manual,43696,1st Owner,Diesel,1505499,3
277,Hyundai Grand,MAGNA 1.2 VTVT,Manual,39304,1st Owner,Petrol,472699,4
278,Hyundai Grand,MAGNA 1.2 KAPPA VTVT,Manual,18003,1st Owner,Petrol,477220,5
279,Honda WR-V,1.2 i-VTEC VX MT,Manual,41604,1st Owner,Petrol,755199,4
280,Honda Amaze,1.2 EMT I VTEC,Manual,49342,1st Owner,Petrol,418099,8
281,Honda Civic,ZX CVT PETROL,Automatic,45604,1st Owner,Petrol,1698999,3
282,Hyundai Xcent,S 1.2,Manual,35557,1st Owner,Petrol,445599,7
283,Maruti Celerio,ZXI AMT,Automatic,40735,1st Owner,Petrol,448699,5
284,Hyundai Grand,SPORTZ 1.2 KAPPA VTVT,Manual,50886,1st Owner,Petrol,398899,8
285,Hyundai Grand,ASTA 1.2 KAPPA VTVT,Manual,80982,2nd Owner,Petrol,460899,6
286,Hyundai Grand,SPORTZ 1.2 KAPPA VTVT,Manual,39642,1st Owner,Petrol,530699,3
287,Maruti Swift,LXI,Manual,53244,1st Owner,Petrol,376899,9
288,Maruti Baleno,DELTA 1.2 K12,Manual,40459,2nd Owner,Petrol,525199,6
289,Hyundai GRAND,SPORTZ 1.2 AT,Automatic,7840,2nd Owner,Petrol,725699,2
290,Maruti Dzire,VXI,Manual,54796,1st Owner,Petrol,598699,5
291,Maruti Baleno,ALPHA 1.2 K12,Manual,23204,1st Owner,Petrol,627149,5
292,Hyundai Creta,1.6 S,Manual,49814,1st Owner,Petrol,857499,7
293,Maruti Baleno,DELTA 1.2 K12,Manual,31923,2nd Owner,Petrol,597199,3
294,Toyota Etios,G,Manual,43321,1st Owner,Petrol,324899,10
296,Maruti Baleno,DELTA 1.2 K12,Manual,21800,1st Owner,Petrol,693699,3
297,Skoda Rapid,STYLE 1.0TSI MT,Manual,9999,1st Owner,Petrol,1194199,1
298,Maruti Alto,LXI,Manual,17800,2nd Owner,Petrol,300099,5
299,Hyundai Grand,SPORTZ 1.2 KAPPA VTVT,Manual,41119,1st Owner,Petrol,458599,6
300,Honda WR-V,1.2 i-VTEC VX MT,Manual,18954,1st Owner,Petrol,758499,5
301,Ford Ecosport,1.5 TREND TI VCT,Manual,28560,1st Owner,Petrol,784799,3
302,Maruti Vitara,ZDI,Manual,23602,1st Owner,Diesel,898599,3
303,Maruti Baleno,DELTA 1.2 K12,Manual,40552,1st Owner,Petrol,525199,6
304,Honda Civic,ZX CVT PETROL,Automatic,19930,1st Owner,Petrol,1860099,3
305,Maruti IGNIS,ZETA 1.2 K12,Manual,21204,1st Owner,Petrol,519499,5
306,Hyundai Elite,Magna Executive Diesel,Manual,57975,1st Owner,Diesel,668899,4
307,Honda Brio,1.2 VX MT I VTEC,Manual,30553,1st Owner,Petrol,469299,5
308,Maruti Baleno,ALPHA 1.2 K12,Manual,65636,1st Owner,Petrol,559999,7
309,Hyundai Grand,MAGNA 1.2 KAPPA VTVT,Manual,43049,1st Owner,Petrol,496699,4
311,Maruti S,VXI PLUS,Manual,4409,1st Owner,Petrol,491899,1
312,MG HECTOR,SHARP DCT PETROL,Automatic,34236,1st Owner,Petrol,1737199,2
313,Hyundai Xcent,S 1.2,Manual,41535,1st Owner,Petrol,449799,7
314,Hyundai NEW,SPORTZ 1.1,Manual,28943,1st Owner,Petrol,495799,3
315,Maruti Baleno,ZETA 1.2 K12,Manual,52677,1st Owner,Petrol,554849,6
316,Ford Ecosport,1.5 TITANIUM TI VCT,Manual,89846,1st Owner,Petrol + CNG,719499,4
317,Renault Kwid,CLIMBER 1.0 AT,Automatic,55432,1st Owner,Petrol,356499,5
318,Audi Q3,2.0 TDI MT S EDITION,Manual,93844,1st Owner,Diesel,1037699,8
319,Maruti Alto,LXI CNG,Manual,30016,1st Owner,Petrol + CNG,495599,1
320,Maruti XL6,ALPHA SHVS  MT,Manual,17952,1st Owner,Petrol,1082499,3
321,Maruti Ciaz,ALPHA 1.5 MT VTVT SHVS,Manual,9758,1st Owner,Petrol,1126649,1
322,Hyundai Elite,Magna Executive 1.2,Manual,44077,2nd Owner,Petrol,546899,4
323,Maruti Wagon,VXI PLUS,Manual,60264,2nd Owner,Petrol,425299,4
324,Honda WR-V,1.2 i-VTEC VX MT,Manual,68354,1st Owner,Petrol,709899,5
325,Hyundai Grand,MAGNA 1.2 KAPPA VTVT,Manual,66329,1st Owner,Petrol,438999,6
326,Hyundai Grand,Sportz(O) 1.2 MT,Manual,63766,1st Owner,Petrol,521399,5
327,Hyundai Grand,SPORTZ 1.2 KAPPA VTVT,Manual,47146,2nd Owner,Petrol,434349,7
328,Maruti Alto,VXI PLUS,Manual,15460,1st Owner,Petrol,424399,1
329,Hyundai i20,SPORTZ 1.2 VTVT,Manual,83811,1st Owner,Petrol,399699,8
330,Hyundai Elite,SPORTZ 1.2,Manual,46473,2nd Owner,Petrol,547799,6
331,Maruti Vitara,ZDI PLUS,Manual,30973,1st Owner,Diesel,959699,3
332,Maruti Baleno,ZETA 1.2 K12 CVT,Automatic,14407,1st Owner,Petrol,942499,1
333,Maruti Alto,LXI,Manual,71314,1st Owner,Petrol,321699,3
334,Mahindra XUV500,W8 FWD AT,Automatic,90501,1st Owner,Diesel,1125299,5
335,Toyota YARIS,J CVT,Automatic,13618,1st Owner,Petrol,905999,3
336,Hyundai Grand,Sportz(O) 1.2 MT,Manual,34652,1st Owner,Petrol,515599,5
337,Maruti Celerio,VXI,Manual,34338,1st Owner,Petrol + CNG,511899,3
338,Maruti Swift,VXI,Manual,31335,2nd Owner,Petrol,378899,8
339,Maruti Baleno,DELTA 1.2 K12,Manual,35245,1st Owner,Petrol,572399,4
340,Maruti Ciaz,VXI PLUS,Manual,99521,1st Owner,Petrol,586799,6
341,Hyundai i20,1.2 S,Manual,70259,1st Owner,Petrol,541299,7
342,Maruti New,ZXI 1.2,Manual,38889,1st Owner,Petrol,506699,3
343,Hyundai Grand,Sportz(O) 1.2 MT,Manual,42016,2nd Owner,Petrol,471299,5
344,Maruti Baleno,DELTA 1.2 K12,Manual,45522,1st Owner,Petrol,662399,3
345,Maruti Alto,VXI,Manual,11145,1st Owner,Petrol,413599,3
346,Audi A3,35TDI PREMIUM,Automatic,91772,2nd Owner,Diesel,1348599,8
347,Honda City,VX CVT PETROL,Automatic,31419,1st Owner,Petrol,1264699,2
348,Honda City,VX MT DIESEL,Manual,49653,1st Owner,Diesel,675099,6
349,Hyundai Grand,ASTA 1.2 (O) VTVT,Manual,49271,3rd Owner,Petrol,452899,5
350,Maruti Vitara,ZDI,Manual,31516,1st Owner,Diesel,883799,3
351,Hyundai Creta,1.6 S,Manual,71587,1st Owner,Petrol,805499,7
352,Maruti Baleno,ZETA 1.2 K12,Manual,59676,1st Owner,Petrol,559099,6
353,Ford Ecosport,1.5 TITANIUM TI VCT AT,Automatic,12333,1st Owner,Petrol,1056849,2
354,Mahindra Thar,CRDE 4X4 BS IV,Manual,19767,1st Owner,Diesel,876399,4
355,Hyundai Elite,ASTA 1.2 (O),Manual,66702,1st Owner,Petrol,607899,6
356,Hyundai GRAND,SPORTZ 1.2 AT,Automatic,32873,1st Owner,Petrol,725799,3
357,Toyota YARIS,G MT,Manual,27388,1st Owner,Petrol,984099,1
358,Ford Ecosport,1.5 TITANIUM TI VCT AT,Automatic,39026,2nd Owner,Petrol,717099,5
359,Maruti Vitara,VDI,Manual,41437,1st Owner,Diesel,796599,3
360,Maruti Vitara,ZDI,Manual,26786,1st Owner,Diesel,655399,6
361,Maruti Baleno,DELTA 1.2 K12,Manual,28920,2nd Owner,Petrol,639799,3
362,Hyundai Elite,MAGNA 1.4 CRDI,Manual,53859,2nd Owner,Diesel,428399,7
363,Audi A3,2.0 TDI  PREMIUM,Automatic,52439,1st Owner,Diesel,1263899,8
364,Maruti Baleno,DELTA 1.2 K12,Manual,50712,1st Owner,Petrol,595899,4
365,Mahindra XUV,W8(O),Manual,68515,2nd Owner,Diesel,897899,3
366,Hyundai Grand,SPORTZ 1.2 KAPPA VTVT,Manual,79292,1st Owner,Petrol,486349,5
367,Hyundai Grand,SPORTZ 1.2 KAPPA VTVT,Manual,68268,1st Owner,Petrol,458799,6
368,Maruti Alto,LXI OPT,Manual,5145,1st Owner,Petrol,407699,1
369,Maruti IGNIS,DELTA 1.2 K12 AMT,Automatic,44161,1st Owner,Petrol,567899,4
370,Ford Ecosport,1.5 TREND TDCI,Manual,33832,2nd Owner,Diesel,420199,9
371,Maruti Vitara,VDI,Manual,49770,2nd Owner,Diesel,723399,4
372,Maruti Baleno,DELTA 1.2 K12,Manual,60820,1st Owner,Petrol,539899,6
373,Maruti Ciaz,DELTA 1.3 DDIS SHVS,Manual,55856,1st Owner,Diesel,635899,5
374,Maruti Baleno,ZETA 1.2 K12,Manual,32387,1st Owner,Petrol,702399,3
375,Maruti Ritz,ZXI,Manual,56793,1st Owner,Petrol,227499,13
376,Toyota YARIS,J MT,Manual,8461,1st Owner,Petrol,1161299,1
377,Maruti Alto,VXI,Manual,26096,1st Owner,Petrol,362199,4
378,Hyundai Creta,1.6 SX CRDI,Manual,40640,1st Owner,Diesel,1028899,4
379,Maruti Ritz,VDI,Manual,60623,1st Owner,Diesel,366399,7
380,Maruti Baleno,ZETA 1.2 K12,Manual,80741,2nd Owner,Petrol,569099,3
381,Hyundai Creta,1.4 E PLUS CRDI,Manual,88168,1st Owner,Diesel,887499,4
382,Maruti Baleno,DELTA 1.2 K12,Manual,65626,1st Owner,Petrol,612699,3
383,Maruti Swift,VXI AMT,Automatic,36424,1st Owner,Petrol,686099,3
384,Hyundai Elite,MAGNA 1.2,Manual,91525,1st Owner,Petrol,507699,6
385,Audi A3,35TDI PREMIUM,Automatic,34148,2nd Owner,Diesel,1317299,8
386,Maruti Alto,VXI,Manual,14443,1st Owner,Petrol,387699,2
387,Hyundai Elite,SPORTZ 1.4,Manual,94365,3rd Owner,Diesel,396799,7
388,Maruti Vitara,ZDI,Manual,41077,1st Owner,Diesel,866099,3
389,Mahindra Scorpio,S5,Manual,56538,1st Owner,Diesel,1046899,4
390,Maruti Baleno,ZETA 1.2 K12,Manual,45448,1st Owner,Petrol,529399,5
391,Maruti Alto,LXI,Manual,35617,1st Owner,Petrol,307099,4
392,Maruti Baleno,ALPHA 1.2 K12,Manual,37949,1st Owner,Petrol,684199,4
393,Maruti Ritz,LXI,Manual,78068,2nd Owner,Petrol,233899,11
394,Maruti Alto,VXI,Manual,42317,1st Owner,Petrol,378599,4
395,Maruti Vitara,VDI,Manual,24670,2nd Owner,Diesel,778999,3
396,Maruti Baleno,DELTA 1.2 K12 AT,Automatic,33503,1st Owner,Petrol,773949,2
398,Maruti Alto,VXI,Manual,37480,1st Owner,Petrol,378699,2
399,Maruti Baleno,DELTA 1.2 K12,Manual,49092,1st Owner,Petrol,525199,6
400,Maruti Baleno,ALPHA 1.2 K12,Manual,44978,1st Owner,Petrol,616999,5
401,Hyundai Creta,1.4 E PLUS CRDI,Manual,68765,1st Owner,Diesel,801199,5
402,Maruti Vitara,VDI,Manual,28057,1st Owner,Diesel,720899,4
403,Hyundai Creta,1.6 CRDI SX PLUS AUTO,Automatic,79950,2nd Owner,Diesel,1000999,4
404,Ford Ecosport,1.5 TITANIUM TI VCT AT,Automatic,18977,1st Owner,Petrol,784199,5
405,Maruti Ciaz,ZDI+ SHVS,Manual,57281,2nd Owner,Diesel,643799,5
406,Ford Ecosport,1.5TITANIUM TDCI,Manual,33438,1st Owner,Diesel,815399,4
407,Audi Q3,35 TDI Quattro,Automatic,52533,1st Owner,Diesel,1486499,7
408,Hyundai Verna,FLUIDIC 1.6 SX CRDI,Manual,33450,1st Owner,Diesel,450499,9
409,Maruti Alto,VXI,Manual,38225,1st Owner,Petrol,358799,3
410,Maruti S,VXI PLUS,Manual,14860,1st Owner,Petrol,455999,2
411,Maruti S,VXI PLUS,Manual,14050,1st Owner,Petrol,472199,1
412,Maruti Alto,LXI CNG,Manual,21829,1st Owner,Petrol + CNG,520399,1
413,Maruti Vitara,ZDI PLUS,Manual,36809,1st Owner,Diesel,665199,6
414,Mahindra Scorpio,S10,Manual,43901,1st Owner,Diesel,1132999,6
415,Maruti Baleno,ZETA 1.2 K12,Manual,61060,1st Owner,Petrol,535499,6
416,Maruti XL6,ALPHA SHVS  MT,Manual,38885,1st Owner,Petrol,978599,3
417,Maruti S,VXI PLUS,Manual,19193,1st Owner,Petrol,426699,2
418,Mahindra Scorpio,S10,Manual,43954,1st Owner,Diesel,1004399,7
419,Maruti Baleno,ZETA 1.2 K12,Manual,57436,1st Owner,Petrol,560499,5
420,Maruti Baleno,DELTA 1.2 K12,Manual,42903,1st Owner,Petrol,529099,5
421,Ford Ecosport,1.5 TDCI TITANIUM PLUS,Manual,42349,1st Owner,Diesel,648999,5
422,Audi Q3,35TDI PREMIUM,Automatic,87052,1st Owner,Diesel,1796299,6
423,Ford Ecosport,1.5TITANIUM TDCI,Manual,16751,1st Owner,Diesel,1077799,1
424,Maruti Alto,VXI,Manual,18261,1st Owner,Petrol,395899,2
425,Audi A6,2.0 TDI TECHNOLOGY,Automatic,77281,2nd Owner,Diesel,1949999,7
426,Maruti Alto,VXI,Manual,28287,2nd Owner,Petrol,375799,4
427,Maruti IGNIS,DELTA 1.2 K12,Manual,34241,1st Owner,Petrol,502399,4
428,Skoda Octavia,2.0 TDI STYLE PLUS AT,Automatic,95993,1st Owner,Diesel,1135999,6
429,Maruti Vitara,VDI,Manual,44339,1st Owner,Diesel,725799,4
430,Maruti Baleno,ALPHA DDIS 190,Manual,51429,2nd Owner,Diesel,593999,5
431,Hyundai Creta,1.4 E PLUS CRDI,Manual,42720,1st Owner,Diesel,872799,5
432,Maruti S,VXI PLUS,Manual,30537,2nd Owner,Petrol,390399,3
433,Maruti Baleno,ZETA 1.2 K12 AMT,Automatic,72196,1st Owner,Petrol,626899,5
434,Maruti Swift,VDI ABS,Manual,79736,2nd Owner,Diesel,501899,6
435,Maruti Ciaz,ZDI,Manual,62245,2nd Owner,Diesel,531399,7
436,Hyundai Creta,1.4 E PLUS CRDI,Manual,78220,1st Owner,Diesel,765299,5
437,Hyundai Elite,SPORTZ 1.4,Manual,45778,1st Owner,Diesel,451999,7
438,Ford Ecosport,1.5 TREND TDCI,Manual,38666,1st Owner,Diesel,426399,8
439,Maruti Baleno,ZETA 1.2 K12 AMT,Automatic,90618,1st Owner,Petrol,577299,5
440,Honda City,E MT DIESEL,Manual,137622,2nd Owner,Diesel,396099,8
441,Audi Q3,2.0 TDI MT S EDITION,Manual,68368,1st Owner,Diesel,1089449,8
442,BMW X1,SDRIVE 20D,Automatic,31705,2nd Owner,Diesel,1619599,6
443,Maruti Vitara,VDI,Manual,42161,1st Owner,Diesel,641399,6
444,Maruti S,ALPHA SHVS,Manual,56102,1st Owner,Diesel,875299,4
445,Ford Ecosport,1.5TITANIUM TDCI,Manual,65143,1st Owner,Diesel,817799,4
446,Maruti Vitara,VDI,Manual,27835,1st Owner,Diesel,697799,6
447,Maruti Ciaz,VDI+ SHVS,Manual,121686,2nd Owner,Diesel,458799,7
448,Maruti Vitara,VDI OPT,Manual,51167,2nd Owner,Diesel,637899,5
449,Maruti S,VXI,Manual,45659,1st Owner,Petrol,453349,2
450,Ford Ecosport,1.5 TDCI TITANIUM PLUS,Manual,59508,1st Owner,Diesel,822599,4
451,Maruti Vitara,VDI,Manual,47851,1st Owner,Diesel,682199,5
452,Maruti Alto,VXI,Manual,42796,1st Owner,Petrol,403399,2
453,Maruti Baleno,ZETA 1.2 K12 AMT,Automatic,79004,1st Owner,Petrol,607499,5
454,Maruti Ciaz,VDI (O) SHVS HYBIRD,Manual,122884,1st Owner,Diesel,449699,7
455,Maruti Alto,LXI CNG,Manual,26773,1st Owner,Petrol + CNG,498899,1
456,Maruti Swift,VDI BS IV,Manual,76009,1st Owner,Diesel,491799,7
457,Maruti Swift,VDI ABS,Manual,47283,1st Owner,Diesel,534899,5
458,Audi Q3,30 TDI MT S EDITION,Manual,71795,1st Owner,Diesel,1275399,7
459,Honda WR-V,1.5 i-DTEC VX MT,Manual,77611,1st Owner,Diesel,726999,5
460,Maruti IGNIS,DELTA 1.2 K12,Manual,34076,1st Owner,Petrol,530199,3
461,Toyota Corolla,D 4D G,Manual,127926,1st Owner,Diesel,643399,8
462,Hyundai i20,SPORTZ 1.4 CRDI,Manual,72852,1st Owner,Diesel,334499,8
463,Maruti Ertiga,VDI ABS,Manual,49425,1st Owner,Diesel,528899,9
464,Maruti S,VXI,Manual,20681,1st Owner,Petrol,442099,2
465,Audi Q3,2.0 TDI QUATTRO,Automatic,89740,1st Owner,Diesel,1082799,9
466,Maruti Vitara,ZDI,Manual,44427,1st Owner,Diesel,631599,6
467,Maruti Ritz,VDI,Manual,80192,1st Owner,Diesel,352799,8
468,Maruti IGNIS,ALPHA 1.3 DDIS,Manual,79796,2nd Owner,Diesel,519349,5
469,Renault Duster,RXS 85 PS,Manual,90520,1st Owner,Diesel,692999,4
470,Hyundai Grand,ASTA 1.1 CRDI,Manual,90449,1st Owner,Diesel,371599,7
471,Renault Duster,85 PS RXL OPT,Manual,84717,1st Owner,Diesel,383799,8
472,Maruti Baleno,ZETA 1.2 K12 AMT,Automatic,63892,2nd Owner,Petrol,591899,5
473,Ford Ecosport,1.5TITANIUM TDCI,Manual,51765,2nd Owner,Diesel,784549,3
474,Maruti Ciaz,VDI+ SHVS,Manual,88616,1st Owner,Diesel,534599,6
475,Hyundai Creta,1.4 S PLUS,Manual,51763,1st Owner,Diesel,725499,7
476,Maruti Alto,VXI,Manual,45891,2nd Owner,Petrol,372099,5
477,Maruti Ciaz,VDI+ SHVS,Manual,83350,1st Owner,Diesel,639999,5
478,Hyundai Tucson,2WD AT GL DIESEL,Automatic,88655,1st Owner,Diesel,1381299,5
479,Maruti Swift,ZDI,Manual,51088,2nd Owner,Diesel,548499,5
480,Mahindra Scorpio,S10,Manual,74939,1st Owner,Diesel,1125199,6
481,Maruti Alto,VXI,Manual,56783,1st Owner,Petrol,376399,5
482,Maruti Vitara,VDI OPT,Manual,67116,2nd Owner,Diesel,618799,5
483,Maruti S,ALPHA 1.3,Manual,46980,1st Owner,Diesel,601899,7
484,Mercedes Benz,E 220 CDI ELEGANCE,Automatic,53524,1st Owner,Diesel,1200899,9
485,Audi Q5,30 TDI PREMIUM PLUS,Automatic,33109,1st Owner,Diesel,1793399,8
486,Maruti Alto,VXI,Manual,31642,1st Owner,Petrol,378849,1
487,Maruti Vitara,VDI OPT,Manual,74082,1st Owner,Diesel,646099,5
488,Ford Ecosport,1.5TITANIUM TDCI,Manual,55513,1st Owner,Diesel,753399,4
489,Maruti Baleno,DELTA DDIS 190,Manual,69270,1st Owner,Diesel,555999,6
490,Maruti Vitara,VDI OPT,Manual,148572,1st Owner,Diesel,636399,5
491,Renault Duster,RXZ AMT 110 PS,Automatic,89143,2nd Owner,Diesel,724399,5
492,Ford Ecosport,1.5TITANIUM TDCI,Manual,74204,1st Owner,Diesel,777299,4
493,BMW 5,520D LUXURY LINE,Automatic,83330,2nd Owner,Diesel,1371599,9
494,Maruti Vitara,ZDI,Manual,81842,1st Owner,Diesel,705399,5
495,Hyundai Creta,1.6 SX CRDI,Manual,85776,1st Owner,Diesel,756599,6
496,Ford Ecosport,1.5TITANIUM TDCI,Manual,42949,1st Owner,Diesel,817199,3
497,Honda City,SV MT DIESEL,Manual,86449,1st Owner,Diesel,454099,8
498,Maruti Vitara,ZDI PLUS DUAL TONE,Manual,69262,2nd Owner,Diesel,649099,5
499,Hyundai Elite,SPORTZ (O) 1.4,Manual,73924,1st Owner,Diesel,421099,8
500,Maruti Vitara,ZDI PLUS,Manual,75754,2nd Owner,Diesel,664799,5
501,Hyundai i20,ASTA 1.4 CRDI,Manual,89083,2nd Owner,Diesel,399799,8
502,Maruti Vitara,VDI,Manual,79417,2nd Owner,Diesel,572799,6
503,Ford Ecosport,1.5 TREND+ TDCI,Manual,113206,1st Owner,Diesel,542999,5
504,Maruti Alto,VXI,Manual,68078,1st Owner,Petrol,353599,4
505,Ford Ecosport,1.5 TITANIUMTDCI OPT,Manual,81227,2nd Owner,Diesel,415499,9
506,Hyundai Grand,SPORTZ 1.1 CRDI,Manual,73894,1st Owner,Diesel,382199,7
507,Mahindra Scorpio,S10,Manual,87784,2nd Owner,Diesel,963499,6
508,Ford Ecosport,1.5TITANIUM TDCI,Manual,71633,1st Owner,Diesel,649099,5
509,Maruti Vitara,VDI OPT,Manual,88480,1st Owner,Diesel,630599,5
510,Ford Ecosport,1.5 TREND+ TDCI,Manual,35215,1st Owner,Diesel,575699,6
511,Maruti Baleno,ZETA DDIS 190,Manual,70755,1st Owner,Diesel,476199,7
512,Ford Ecosport,1.5 TITANIUMTDCI OPT,Manual,76208,1st Owner,Diesel,425899,9
513,Maruti Vitara,VDI OPT,Manual,62861,1st Owner,Diesel,635399,6
514,Renault Duster,85 PS RXL,Manual,70946,1st Owner,Diesel,650099,6
515,Maruti Swift,VDI ABS,Manual,92673,1st Owner,Diesel,376599,7
516,Toyota Etios,CROSS VD,Manual,83974,2nd Owner,Diesel,476099,8
517,Maruti S,ALPHA 1.3,Manual,75945,1st Owner,Diesel,604599,7
518,Maruti Vitara,ZDI PLUS,Manual,90969,1st Owner,Diesel,716599,5
519,Ford Ecosport,1.5TITANIUM TDCI,Manual,51221,2nd Owner,Diesel,448399,8
520,Ford Ecosport,1.5 TDCI TITANIUM PLUS,Manual,26892,1st Owner,Diesel,763499,5
521,Maruti Vitara,ZDI PLUS,Manual,72183,1st Owner,Diesel,639899,6
522,Maruti Swift,VDI ABS,Manual,69898,1st Owner,Diesel,399499,7
523,Maruti Swift,VDI ABS,Manual,83583,1st Owner,Diesel,398899,7
524,Maruti Vitara,ZDI,Manual,82051,1st Owner,Diesel,620799,5
525,Maruti Vitara,ZDI,Manual,54904,1st Owner,Diesel,649099,6
526,Maruti Swift,VDI ABS,Manual,52839,1st Owner,Diesel,494399,5
527,Maruti Vitara,ZDI PLUS,Manual,57707,1st Owner,Diesel,674199,6
528,Maruti Vitara,ZDI,Manual,61982,1st Owner,Diesel,680799,5
529,Maruti S,ALPHA SHVS,Manual,38780,2nd Owner,Diesel,822299,4
530,Maruti Swift,VDI ABS,Manual,86816,1st Owner,Diesel,401499,7
531,Maruti S,ZETA 1.3,Manual,37521,1st Owner,Diesel,738199,5
532,Maruti Swift,VDI ABS,Manual,56999,1st Owner,Diesel,411099,7
533,Maruti Swift,VDI ABS,Manual,76491,1st Owner,Diesel,394599,7
534,Maruti Vitara,VDI OPT,Manual,98820,1st Owner,Diesel,568999,6
535,Ford Ecosport,1.5 TITANIUMTDCI OPT,Manual,72887,1st Owner,Diesel,694399,5
536,Maruti S,ALPHA SHVS,Manual,96787,2nd Owner,Diesel,709199,5
537,Maruti Vitara,ZDI,Manual,102367,1st Owner,Diesel,580399,6
538,Maruti S,ALPHA SHVS,Manual,91763,2nd Owner,Diesel,695599,5
539,Maruti Vitara,ZDI PLUS DUAL TONE,Manual,90492,1st Owner,Diesel,685599,6
540,Maruti Swift,ZDI,Manual,73654,1st Owner,Diesel,385499,8
541,Hyundai i10,ERA 1.1 IRDE,Manual,29540,2nd Owner,Petrol,266199,8
542,Mahindra KUV,K2 6 STR,Manual,19955,1st Owner,Petrol,408099,4
543,Datsun Redi,A,Manual,22898,2nd Owner,Petrol,242999,4
544,Maruti Swift,LXI,Manual,9371,1st Owner,Petrol,586699,2
545,MG HECTOR,SHARP HYBRID PETROL,Manual,3587,1st Owner,Petrol,1819949,1
546,Maruti Wagon,VXI,Manual,87376,1st Owner,Petrol,269699,9
547,Maruti Swift,LXI,Manual,17435,1st Owner,Petrol,592499,2
548,Maruti Alto,LXI,Manual,48604,2nd Owner,Petrol,237899,8
549,Maruti A,VXI,Manual,23629,2nd Owner,Petrol,231699,11
550,Hyundai Eon,ERA PLUS,Manual,29651,1st Owner,Petrol,257999,8
551,Maruti Baleno,SIGMA 1.2 K12,Manual,13525,1st Owner,Petrol,600999,2
552,Maruti Alto,VXI,Manual,38042,1st Owner,Petrol,237899,11
553,Hyundai i10,SPORTZ 1.2 AT,Automatic,38983,1st Owner,Petrol,202099,13
554,Maruti Swift,VXI,Manual,20730,1st Owner,Petrol,280999,12
555,Renault Kwid,RXL,Manual,867,2nd Owner,Petrol,378299,3
556,Hyundai Elite,Magna Executive 1.2,Manual,30023,1st Owner,Petrol,536399,4
557,Maruti Ciaz,1.5 SIGMA SHVS,Manual,18855,1st Owner,Petrol,885699,1
558,Maruti Swift,VXI,Manual,37291,2nd Owner,Petrol,367899,9
559,Maruti Celerio,LXI,Manual,24668,1st Owner,Petrol,353899,7
560,Maruti Baleno,SIGMA 1.2 K12,Manual,25009,2nd Owner,Petrol,545299,3
561,Mahindra Scorpio,S10,Manual,52999,1st Owner,Diesel,1074399,5
562,Maruti Swift,VXI 1.2 BS IV,Manual,49879,1st Owner,Petrol,387099,9
563,Maruti New,1.0 LXI (O),Manual,6943,1st Owner,Petrol,587199,0
565,Maruti Swift,VXI,Manual,51321,1st Owner,Petrol,441899,8
566,Honda City,VX MT PETROL,Manual,43748,1st Owner,Petrol,654299,8
567,Hyundai Eon,MAGNA PLUS,Manual,38231,1st Owner,Petrol,319399,6
