Title,cvakb,cvakb1,bvr0c,bvr0c2,bvr0c3,_7udzz,,,,,,
2019 Honda City,V MT PETROL Manual,Manual,"29,922 km",1st Owner,Petrol,"?9,23,399",,,,,,
2016 Ford Ecosport,1.5 TITANIUM TI VCT Manual,Manual,"46,901 km",2nd Owner,Petrol,"?6,30,199",,,,,,
2019 Maruti Baleno,DELTA 1.2 K12 Manual,Manual,"22,380 km",1st Owner,Petrol,"?6,43,239",,,,,,
2019 Honda Amaze,1.2 V CVT I VTEC Automatic,Automatic,"29,577 km",1st Owner,Petrol,"?7,94,399",,,,,,
2014 Maruti Swift,ZXI Manual,Manual,"63,278 km",1st Owner,Petrol,"?4,46,999",,,,,,
2019 Hyundai Elite i20,1.2 SPORTS PLUS VTVT Manual,Manual,"45,805 km",1st Owner,Petrol,"?7,02,299",,,,,,
2017 Maruti Alto K10,VXI Manual,Manual,"95,218 km",1st Owner,Petrol,"?3,31,199",,,,,,
2018 Renault Kwid,1.0 RXT Opt Manual,Manual,"75,123 km",1st Owner,Petrol,"?3,42,999",,,,,,
2013 Hyundai i20,SPORTZ 1.4 CRDI Manual,Manual,"1,21,564 km",2nd Owner,Diesel,"?3,48,599",,,,,,
2019 Maruti Baleno,ZETA 1.2 K12 Manual,Manual,"19,398 km",1st Owner,Petrol,"?7,28,199",,,,,,
2019 Hyundai NEW SANTRO,1.1 MAGNA AMT Automatic,Automatic,"20,498 km",1st Owner,Petrol,"?5,27,699",,,,,,
2021 Maruti S Cross,ZETA AT 1.5 SHVS ,,"5,268 km",1st Owner,Petrol,"?11,08,699",,,,,,
2013 Toyota Etios Liva,G SP Manual,Manual,"36,330 km",1st Owner,Petrol,"?3,76,599",,,,,,
2020 Hyundai NEW SANTRO,SPORTZ 1.1 Manual,Manual,"17,336 km",1st Owner,Petrol,"?4,73,899",,,,,,
2019 MG HECTOR,SHARP DCT PETROL Automatic,Automatic,"35,443 km",1st Owner,Petrol,"?17,26,099",,,,,,
2019 MG HECTOR,SHARP DCT PETROL Automatic,Automatic,"36,621 km",1st Owner,Petrol,"?17,78,399",,,,,,
2017 Honda WR-V,1.2 i-VTEC VX MT Manual,Manual,"84,302 km",1st Owner,Petrol,"?6,71,699",,,,,,
2021 Maruti New  Wagon-R,1.0 Lxi (o) cng Manual,Manual,"16,511 km",1st Owner,Petrol + CNG,"?6,84,099",,,,,,
2019 MG HECTOR,SHARP DCT PETROL Automatic,Automatic,"38,903 km",1st Owner,Petrol,"?16,34,199",,,,,,
2017 Toyota Corolla Altis,GL Manual,Manual,"58,885 km",1st Owner,Petrol,"?11,36,899",,,,,,
2019 Maruti Alto K10,VXI Manual,Manual,"5,821 km",1st Owner,Petrol,"?4,28,299",,,,,,
2018 Honda City,V MT PETROL Manual,Manual,"23,860 km",1st Owner,Petrol,"?8,70,999",,,,,,
2016 Maruti Ciaz,VXI PLUS Manual,Manual,"14,253 km",1st Owner,Petrol,"?6,86,399",,,,,,
2019 Hyundai NEW SANTRO,ASTA 1.1 MT Manual,Manual,"12,664 km",1st Owner,Petrol,"?5,58,899",,,,,,
2018 Tata Hexa,Varicor 400 XMA Automatic,Automatic,"75,883 km",1st Owner,Diesel,"?11,48,749",,,,,,
2017 Hyundai Elite i20,ASTA 1.2 Manual,Manual,"25,775 km",2nd Owner,Petrol,"?6,02,099",,,,,,
2021 Maruti S Cross,ZETA AT 1.5 SHVS ,,"15,291 km",2nd Owner,Petrol,"?10,19,399",,,,,,
2019 Maruti Baleno,DELTA 1.2 K12 Manual,Manual,"25,227 km",1st Owner,Petrol,"?6,89,199",,,,,,
2019 Maruti Celerio,VXI Manual,Manual,"33,888 km",2nd Owner,Petrol,"?4,41,899",,,,,,
2021 Maruti IGNIS,DELTA 1.2 K12 Manual,Manual,"12,799 km",1st Owner,Petrol,"?6,42,999",,,,,,
2018 Maruti IGNIS,SIGMA 1.2 K12 Manual,Manual,"18,645 km",1st Owner,Petrol,"?4,66,099",,,,,,
2017 Maruti Baleno,DELTA 1.2 K12 Manual,Manual,"64,181 km",1st Owner,Petrol,"?4,80,449",,,,,,
2018 Maruti Baleno,ZETA 1.2 K12 Manual,Manual,"30,672 km",1st Owner,Petrol,"?6,47,999",,,,,,
2019 Maruti Alto,VXI Manual,Manual,"37,786 km",1st Owner,Petrol,"?3,46,054",,,,,,
2020 Mahindra Scorpio,S9 Manual,Manual,"26,121 km",1st Owner,Diesel,"?15,13,099",,,,,,
2020 Hyundai GRAND I10 NIOS,SPORTZ PETROL Manual,Manual,"16,489 km",1st Owner,Petrol,"?6,76,399",,,,,,
2017 Honda WR-V,1.2 i-VTEC S MT Manual,Manual,"39,333 km",1st Owner,Petrol,"?6,48,099",,,,,,
2021 Tata NEXON,XZ+ 1.5 Manual,Manual,"6,694 km",1st Owner,Diesel,"?12,61,699",,,,,,
2019 Maruti IGNIS,ALPHA 1.2 K12 AMT Automatic,Automatic,"25,350 km",1st Owner,Petrol,"?6,70,699",,,,,,
2015 Hyundai Eon,MAGNA PLUS Manual,Manual,"43,616 km",2nd Owner,Petrol,"?3,05,699",,,,,,
2020 Maruti S PRESSO,VXI PLUS AGS Automatic,Automatic,"2,258 km",1st Owner,Petrol,"?5,28,499",,,,,,
2018 Tata Tiago,XE 1.2 REVOTRON Manual,Manual,"33,114 km",1st Owner,Petrol,"?4,25,099",,,,,,
2020 MG HECTOR,SHARP DCT PETROL Automatic,Automatic,"33,016 km",1st Owner,Petrol,"?18,04,899",,,,,,
2016 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT Manual,Manual,"19,577 km",1st Owner,Petrol,"?4,28,299",,,,,,
2021 Tata Safari,XE 2.0 KRYOTEC Manual,Manual,"17,534 km",1st Owner,Diesel,"?15,36,799",,,,,,
2020 Mahindra XUV 3OO,1.2 W6 MT ,,"17,763 km",1st Owner,Petrol,"?9,29,799",,,,,,
2018 Maruti Wagon R 1.0,LXI Manual,Manual,"18,671 km",1st Owner,Petrol,"?4,24,499",,,,,,
2019 Hyundai GRAND I10 NIOS,SPORTZ 1.2 AT Automatic,Automatic,"15,206 km",1st Owner,Petrol,"?7,25,899",,,,,,
2019 Hyundai Tucson New,2WD AT GLS PETROL Automatic,Automatic,"38,848 km",1st Owner,Petrol,"?21,39,499",,,,,,
2021 Mahindra XUV 3OO,1.2 W6 MT ,,"7,334 km",1st Owner,Petrol,"?9,95,499",,,,,,
2017 Mahindra XUV500,W8 FWD Manual,Manual,"84,279 km",2nd Owner,Diesel,"?9,69,399",,,,,,
2021 Mahindra Thar,LX D 4*4 MT HT Manual,Manual,"10,292 km",1st Owner,Diesel,"?16,73,799",,,,,,
2016 Ford Ecosport,1.5 TITANIUM TI VCT Manual,Manual,"53,040 km",1st Owner,Petrol,"?7,01,099",,,,,,
2016 Maruti Baleno,DELTA 1.2 K12 Manual,Manual,"26,114 km",1st Owner,Petrol,"?5,25,199",,,,,,
2021 Toyota Glanza,G CVT Automatic,Automatic,"8,225 km",1st Owner,Petrol,"?9,30,899",,,,,,
2017 Maruti Celerio,VXI Manual,Manual,"25,646 km",1st Owner,Petrol,"?4,32,099",,,,,,
2020 Hyundai Creta,1.6 SX AT CRDI Automatic,Automatic,"42,396 km",1st Owner,Diesel,"?16,03,199",,,,,,
2020 Maruti Vitara Brezza,VXI Manual,Manual,"42,315 km",2nd Owner,Petrol,"?7,92,799",,,,,,
2019 Tata Hexa,Varicor 400 XM Manual,Manual,"43,696 km",1st Owner,Diesel,"?15,05,499",,,,,,
2018 Hyundai Grand i10,MAGNA 1.2 VTVT Manual,Manual,"39,304 km",1st Owner,Petrol,"?4,72,699",,,,,,
2017 Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT Manual,Manual,"18,003 km",1st Owner,Petrol,"?4,77,220",,,,,,
2018 Honda WR-V,1.2 i-VTEC VX MT Manual,Manual,"41,604 km",1st Owner,Petrol,"?7,55,199",,,,,,
2014 Honda Amaze,1.2 EMT I VTEC Manual,Manual,"49,342 km",1st Owner,Petrol,"?4,18,099",,,,,,
2019 Honda Civic,ZX CVT PETROL Automatic,Automatic,"45,604 km",1st Owner,Petrol,"?16,98,999",,,,,,
2015 Hyundai Xcent,S 1.2 Manual,Manual,"35,557 km",1st Owner,Petrol,"?4,45,599",,,,,,
2017 Maruti Celerio,ZXI AMT Automatic,Automatic,"40,735 km",1st Owner,Petrol,"?4,48,699",,,,,,
2014 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT Manual,Manual,"50,886 km",1st Owner,Petrol,"?3,98,899",,,,,,
2016 Hyundai Grand i10,ASTA 1.2 KAPPA VTVT Manual,Manual,"80,982 km",2nd Owner,Petrol,"?4,60,899",,,,,,
2019 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT Manual,Manual,"39,642 km",1st Owner,Petrol,"?5,30,699",,,,,,
2013 Maruti Swift,LXI Manual,Manual,"53,244 km",1st Owner,Petrol,"?3,76,899",,,,,,
2016 Maruti Baleno,DELTA 1.2 K12 Manual,Manual,"40,459 km",2nd Owner,Petrol,"?5,25,199",,,,,,
2020 Hyundai GRAND I10 NIOS,SPORTZ 1.2 AT Automatic,Automatic,"7,840 km",2nd Owner,Petrol,"?7,25,699",,,,,,
2017 Maruti Dzire,VXI Manual,Manual,"54,796 km",1st Owner,Petrol,"?5,98,699",,,,,,
2017 Maruti Baleno,ALPHA 1.2 K12 Manual,Manual,"23,204 km",1st Owner,Petrol,"?6,27,149",,,,,,
2015 Hyundai Creta,1.6 S Manual,Manual,"49,814 km",1st Owner,Petrol,"?8,57,499",,,,,,
2019 Maruti Baleno,DELTA 1.2 K12 Manual,Manual,"31,923 km",2nd Owner,Petrol,"?5,97,199",,,,,,
2012 Toyota Etios Liva,G Manual,Manual,"43,321 km",1st Owner,Petrol,"?3,24,899",,,,,,
2021 Mahindra XUV 3OO,1.2 W6 MT ,,"5,184 km",1st Owner,Petrol,"?10,92,499",,,,,,
2019 Maruti Baleno,DELTA 1.2 K12 Manual,Manual,"21,800 km",1st Owner,Petrol,"?6,93,699",,,,,,
2021 Skoda Rapid,STYLE 1.0TSI MT Manual,Manual,"9,999 km",1st Owner,Petrol,"?11,94,199",,,,,,
2017 Maruti Alto 800,LXI Manual,Manual,"17,800 km",2nd Owner,Petrol,"?3,00,099",,,,,,
2016 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT Manual,Manual,"41,119 km",1st Owner,Petrol,"?4,58,599",,,,,,
2017 Honda WR-V,1.2 i-VTEC VX MT Manual,Manual,"18,954 km",1st Owner,Petrol,"?7,58,499",,,,,,
2019 Ford Ecosport,1.5 TREND TI VCT Manual,Manual,"28,560 km",1st Owner,Petrol,"?7,84,799",,,,,,
2019 Maruti Vitara Brezza,ZDI Manual,Manual,"23,602 km",1st Owner,Diesel,"?8,98,599",,,,,,
2016 Maruti Baleno,DELTA 1.2 K12 Manual,Manual,"40,552 km",1st Owner,Petrol,"?5,25,199",,,,,,
2019 Honda Civic,ZX CVT PETROL Automatic,Automatic,"19,930 km",1st Owner,Petrol,"?18,60,099",,,,,,
2017 Maruti IGNIS,ZETA 1.2 K12 Manual,Manual,"21,204 km",1st Owner,Petrol,"?5,19,499",,,,,,
2018 Hyundai Elite i20,Magna Executive Diesel Manual,Manual,"57,975 km",1st Owner,Diesel,"?6,68,899",,,,,,
2017 Honda Brio,1.2 VX MT I VTEC Manual,Manual,"30,553 km",1st Owner,Petrol,"?4,69,299",,,,,,
2015 Maruti Baleno,ALPHA 1.2 K12 Manual,Manual,"65,636 km",1st Owner,Petrol,"?5,59,999",,,,,,
2018 Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT Manual,Manual,"43,049 km",1st Owner,Petrol,"?4,96,699",,,,,,
2020 Mahindra XUV 3OO,1.2 W6 MT ,,"22,100 km",1st Owner,Petrol,"?8,18,399",,,,,,
2021 Maruti S PRESSO,VXI PLUS Manual,Manual,"4,409 km",1st Owner,Petrol,"?4,91,899",,,,,,
2020 MG HECTOR,SHARP DCT PETROL Automatic,Automatic,"34,236 km",1st Owner,Petrol,"?17,37,199",,,,,,
2015 Hyundai Xcent,S 1.2 Manual,Manual,"41,535 km",1st Owner,Petrol,"?4,49,799",,,,,,
2019 Hyundai NEW SANTRO,SPORTZ 1.1 Manual,Manual,"28,943 km",1st Owner,Petrol,"?4,95,799",,,,,,
2016 Maruti Baleno,ZETA 1.2 K12 Manual,Manual,"52,677 km",1st Owner,Petrol,"?5,54,849",,,,,,
2018 Ford Ecosport,1.5 TITANIUM TI VCT Manual,Manual,"89,846 km",1st Owner,Petrol + CNG,"?7,19,499",,,,,,
2017 Renault Kwid,CLIMBER 1.0 AT Automatic,Automatic,"55,432 km",1st Owner,Petrol,"?3,56,499",,,,,,
2014 Audi Q3,2.0 TDI MT S EDITION Manual,Manual,"93,844 km",1st Owner,Diesel,"?10,37,699",,,,,,
2021 Maruti Alto,LXI CNG Manual,Manual,"30,016 km",1st Owner,Petrol + CNG,"?4,95,599",,,,,,
2019 Maruti XL6,ALPHA SHVS  MT Manual,Manual,"17,952 km",1st Owner,Petrol,"?10,82,499",,,,,,
2021 Maruti Ciaz,ALPHA 1.5 MT VTVT SHVS Manual,Manual,"9,758 km",1st Owner,Petrol,"?11,26,649",,,,,,
2018 Hyundai Elite i20,Magna Executive 1.2 Manual,Manual,"44,077 km",2nd Owner,Petrol,"?5,46,899",,,,,,
2018 Maruti Wagon R 1.0,VXI PLUS Manual,Manual,"60,264 km",2nd Owner,Petrol,"?4,25,299",,,,,,
2017 Honda WR-V,1.2 i-VTEC VX MT Manual,Manual,"68,354 km",1st Owner,Petrol,"?7,09,899",,,,,,
2016 Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT Manual,Manual,"66,329 km",1st Owner,Petrol,"?4,38,999",,,,,,
2017 Hyundai Grand i10,Sportz(O) 1.2 MT Manual,Manual,"63,766 km",1st Owner,Petrol,"?5,21,399",,,,,,
2015 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT Manual,Manual,"47,146 km",2nd Owner,Petrol,"?4,34,349",,,,,,
2021 Maruti Alto,VXI PLUS Manual,Manual,"15,460 km",1st Owner,Petrol,"?4,24,399",,,,,,
2014 Hyundai i20,SPORTZ 1.2 VTVT Manual,Manual,"83,811 km",1st Owner,Petrol,"?3,99,699",,,,,,
2016 Hyundai Elite i20,SPORTZ 1.2 Manual,Manual,"46,473 km",2nd Owner,Petrol,"?5,47,799",,,,,,
2019 Maruti Vitara Brezza,ZDI PLUS Manual,Manual,"30,973 km",1st Owner,Diesel,"?9,59,699",,,,,,
2021 Maruti Baleno,ZETA 1.2 K12 CVT Automatic,Automatic,"14,407 km",1st Owner,Petrol,"?9,42,499",,,,,,
2019 Maruti Alto,LXI Manual,Manual,"71,314 km",1st Owner,Petrol,"?3,21,699",,,,,,
2017 Mahindra XUV500,W8 FWD AT Automatic,Automatic,"90,501 km",1st Owner,Diesel,"?11,25,299",,,,,,
2019 Toyota YARIS,J CVT Automatic,Automatic,"13,618 km",1st Owner,Petrol,"?9,05,999",,,,,,
2017 Hyundai Grand i10,Sportz(O) 1.2 MT Manual,Manual,"34,652 km",1st Owner,Petrol,"?5,15,599",,,,,,
2019 Maruti Celerio,VXI Manual,Manual,"34,338 km",1st Owner,Petrol + CNG,"?5,11,899",,,,,,
2014 Maruti Swift,VXI Manual,Manual,"31,335 km",2nd Owner,Petrol,"?3,78,899",,,,,,
2018 Maruti Baleno,DELTA 1.2 K12 Manual,Manual,"35,245 km",1st Owner,Petrol,"?5,72,399",,,,,,
2016 Maruti Ciaz,VXI PLUS Manual,Manual,"99,521 km",1st Owner,Petrol,"?5,86,799",,,,,,
2015 Hyundai i20 Active,1.2 S Manual,Manual,"70,259 km",1st Owner,Petrol,"?5,41,299",,,,,,
2019 Maruti New  Wagon-R,ZXI 1.2 Manual,Manual,"38,889 km",1st Owner,Petrol,"?5,06,699",,,,,,
2017 Hyundai Grand i10,Sportz(O) 1.2 MT Manual,Manual,"42,016 km",2nd Owner,Petrol,"?4,71,299",,,,,,
2019 Maruti Baleno,DELTA 1.2 K12 Manual,Manual,"45,522 km",1st Owner,Petrol,"?6,62,399",,,,,,
2019 Maruti Alto K10,VXI Manual,Manual,"11,145 km",1st Owner,Petrol,"?4,13,599",,,,,,
2014 Audi A3,35TDI PREMIUM Automatic,Automatic,"91,772 km",2nd Owner,Diesel,"?13,48,599",,,,,,
2020 Honda City,VX CVT PETROL Automatic,Automatic,"31,419 km",1st Owner,Petrol,"?12,64,699",,,,,,
2016 Honda City,VX MT DIESEL Manual,Manual,"49,653 km",1st Owner,Diesel,"?6,75,099",,,,,,
2017 Hyundai Grand i10,ASTA 1.2 (O) VTVT Manual,Manual,"49,271 km",3rd Owner,Petrol,"?4,52,899",,,,,,
2019 Maruti Vitara Brezza,ZDI Manual,Manual,"31,516 km",1st Owner,Diesel,"?8,83,799",,,,,,
2015 Hyundai Creta,1.6 S Manual,Manual,"71,587 km",1st Owner,Petrol,"?8,05,499",,,,,,
2016 Maruti Baleno,ZETA 1.2 K12 Manual,Manual,"59,676 km",1st Owner,Petrol,"?5,59,099",,,,,,
2020 Ford Ecosport,1.5 TITANIUM TI VCT AT Automatic,Automatic,"12,333 km",1st Owner,Petrol,"?10,56,849",,,,,,
2018 Mahindra Thar,CRDE 4X4 BS IV Manual,Manual,"19,767 km",1st Owner,Diesel,"?8,76,399",,,,,,
2016 Hyundai Elite i20,ASTA 1.2 (O) Manual,Manual,"66,702 km",1st Owner,Petrol,"?6,07,899",,,,,,
2019 Hyundai GRAND I10 NIOS,SPORTZ 1.2 AT Automatic,Automatic,"32,873 km",1st Owner,Petrol,"?7,25,799",,,,,,
2021 Toyota YARIS,G MT Manual,Manual,"27,388 km",1st Owner,Petrol,"?9,84,099",,,,,,
2017 Ford Ecosport,1.5 TITANIUM TI VCT AT Automatic,Automatic,"39,026 km",2nd Owner,Petrol,"?7,17,099",,,,,,
2019 Maruti Vitara Brezza,VDI Manual,Manual,"41,437 km",1st Owner,Diesel,"?7,96,599",,,,,,
2016 Maruti Vitara Brezza,ZDI Manual,Manual,"26,786 km",1st Owner,Diesel,"?6,55,399",,,,,,
2019 Maruti Baleno,DELTA 1.2 K12 Manual,Manual,"28,920 km",2nd Owner,Petrol,"?6,39,799",,,,,,
2015 Hyundai Elite i20,MAGNA 1.4 CRDI Manual,Manual,"53,859 km",2nd Owner,Diesel,"?4,28,399",,,,,,
2014 Audi A3,2.0 TDI  PREMIUM Automatic,Automatic,"52,439 km",1st Owner,Diesel,"?12,63,899",,,,,,
2018 Maruti Baleno,DELTA 1.2 K12 Manual,Manual,"50,712 km",1st Owner,Petrol,"?5,95,899",,,,,,
2019 Mahindra XUV 3OO,W8(O) Manual,Manual,"68,515 km",2nd Owner,Diesel,"?8,97,899",,,,,,
2017 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT Manual,Manual,"79,292 km",1st Owner,Petrol,"?4,86,349",,,,,,
2016 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT Manual,Manual,"68,268 km",1st Owner,Petrol,"?4,58,799",,,,,,
2021 Maruti Alto,LXI OPT Manual,Manual,"5,145 km",1st Owner,Petrol,"?4,07,699",,,,,,
2018 Maruti IGNIS,DELTA 1.2 K12 AMT Automatic,Automatic,"44,161 km",1st Owner,Petrol,"?5,67,899",,,,,,
2013 Ford Ecosport,1.5 TREND TDCI Manual,Manual,"33,832 km",2nd Owner,Diesel,"?4,20,199",,,,,,
2018 Maruti Vitara Brezza,VDI Manual,Manual,"49,770 km",2nd Owner,Diesel,"?7,23,399",,,,,,
2016 Maruti Baleno,DELTA 1.2 K12 Manual,Manual,"60,820 km",1st Owner,Petrol,"?5,39,899",,,,,,
2017 Maruti Ciaz,DELTA 1.3 DDIS SHVS Manual,Manual,"55,856 km",1st Owner,Diesel,"?6,35,899",,,,,,
2019 Maruti Baleno,ZETA 1.2 K12 Manual,Manual,"32,387 km",1st Owner,Petrol,"?7,02,399",,,,,,
2009 Maruti Ritz,ZXI Manual,Manual,"56,793 km",1st Owner,Petrol,"?2,27,499",,,,,,
2021 Toyota YARIS,J MT Manual,Manual,"8,461 km",1st Owner,Petrol,"?11,61,299",,,,,,
2018 Maruti Alto K10,VXI Manual,Manual,"26,096 km",1st Owner,Petrol,"?3,62,199",,,,,,
2018 Hyundai Creta,1.6 SX CRDI Manual,Manual,"40,640 km",1st Owner,Diesel,"?10,28,899",,,,,,
2015 Maruti Ritz,VDI Manual,Manual,"60,623 km",1st Owner,Diesel,"?3,66,399",,,,,,
2019 Maruti Baleno,ZETA 1.2 K12 Manual,Manual,"80,741 km",2nd Owner,Petrol,"?5,69,099",,,,,,
2018 Hyundai Creta,1.4 E PLUS CRDI Manual,Manual,"88,168 km",1st Owner,Diesel,"?8,87,499",,,,,,
2019 Maruti Baleno,DELTA 1.2 K12 Manual,Manual,"65,626 km",1st Owner,Petrol,"?6,12,699",,,,,,
2019 Maruti Swift,VXI AMT Automatic,Automatic,"36,424 km",1st Owner,Petrol,"?6,86,099",,,,,,
2016 Hyundai Elite i20,MAGNA 1.2 Manual,Manual,"91,525 km",1st Owner,Petrol,"?5,07,699",,,,,,
2014 Audi A3,35TDI PREMIUM Automatic,Automatic,"34,148 km",2nd Owner,Diesel,"?13,17,299",,,,,,
2020 Maruti Alto,VXI Manual,Manual,"14,443 km",1st Owner,Petrol,"?3,87,699",,,,,,
2015 Hyundai Elite i20,SPORTZ 1.4 Manual,Manual,"94,365 km",3rd Owner,Diesel,"?3,96,799",,,,,,
2019 Maruti Vitara Brezza,ZDI Manual,Manual,"41,077 km",1st Owner,Diesel,"?8,66,099",,,,,,
2018 Mahindra Scorpio,S5 Manual,Manual,"56,538 km",1st Owner,Diesel,"?10,46,899",,,,,,
2017 Maruti Baleno,ZETA 1.2 K12 Manual,Manual,"45,448 km",1st Owner,Petrol,"?5,29,399",,,,,,
2018 Maruti Alto 800,LXI Manual,Manual,"35,617 km",1st Owner,Petrol,"?3,07,099",,,,,,
2018 Maruti Baleno,ALPHA 1.2 K12 Manual,Manual,"37,949 km",1st Owner,Petrol,"?6,84,199",,,,,,
2011 Maruti Ritz,LXI Manual,Manual,"78,068 km",2nd Owner,Petrol,"?2,33,899",,,,,,
2018 Maruti Alto K10,VXI Manual,Manual,"42,317 km",1st Owner,Petrol,"?3,78,599",,,,,,
2019 Maruti Vitara Brezza,VDI Manual,Manual,"24,670 km",2nd Owner,Diesel,"?7,78,999",,,,,,
2020 Maruti Baleno,DELTA 1.2 K12 AT Automatic,Automatic,"33,503 km",1st Owner,Petrol,"?7,73,949",,,,,,
2021 Mahindra XUV 3OO,1.2 W6 MT ,,"8,928 km",2nd Owner,Petrol,"?9,62,499",,,,,,
2020 Maruti Alto,VXI Manual,Manual,"37,480 km",1st Owner,Petrol,"?3,78,699",,,,,,
2016 Maruti Baleno,DELTA 1.2 K12 Manual,Manual,"49,092 km",1st Owner,Petrol,"?5,25,199",,,,,,
2017 Maruti Baleno,ALPHA 1.2 K12 Manual,Manual,"44,978 km",1st Owner,Petrol,"?6,16,999",,,,,,
2017 Hyundai Creta,1.4 E PLUS CRDI Manual,Manual,"68,765 km",1st Owner,Diesel,"?8,01,199",,,,,,
2018 Maruti Vitara Brezza,VDI Manual,Manual,"28,057 km",1st Owner,Diesel,"?7,20,899",,,,,,
2018 Hyundai Creta,1.6 CRDI SX PLUS AUTO Automatic,Automatic,"79,950 km",2nd Owner,Diesel,"?10,00,999",,,,,,
2017 Ford Ecosport,1.5 TITANIUM TI VCT AT Automatic,Automatic,"18,977 km",1st Owner,Petrol,"?7,84,199",,,,,,
2017 Maruti Ciaz,ZDI+ SHVS Manual,Manual,"57,281 km",2nd Owner,Diesel,"?6,43,799",,,,,,
2018 Ford Ecosport,1.5TITANIUM TDCI Manual,Manual,"33,438 km",1st Owner,Diesel,"?8,15,399",,,,,,
2015 Audi Q3,35 TDI Quattro Automatic,Automatic,"52,533 km",1st Owner,Diesel,"?14,86,499",,,,,,
2013 Hyundai Verna,FLUIDIC 1.6 SX CRDI Manual,Manual,"33,450 km",1st Owner,Diesel,"?4,50,499",,,,,,
2019 Maruti Alto K10,VXI Manual,Manual,"38,225 km",1st Owner,Petrol,"?3,58,799",,,,,,
2020 Maruti S PRESSO,VXI PLUS Manual,Manual,"14,860 km",1st Owner,Petrol,"?4,55,999",,,,,,
2021 Maruti S PRESSO,VXI PLUS Manual,Manual,"14,050 km",1st Owner,Petrol,"?4,72,199",,,,,,
2021 Maruti Alto,LXI CNG Manual,Manual,"21,829 km",1st Owner,Petrol + CNG,"?5,20,399",,,,,,
2016 Maruti Vitara Brezza,ZDI PLUS Manual,Manual,"36,809 km",1st Owner,Diesel,"?6,65,199",,,,,,
2016 Mahindra Scorpio,S10 Manual,Manual,"43,901 km",1st Owner,Diesel,"?11,32,999",,,,,,
2016 Maruti Baleno,ZETA 1.2 K12 Manual,Manual,"61,060 km",1st Owner,Petrol,"?5,35,499",,,,,,
2019 Maruti XL6,ALPHA SHVS  MT Manual,Manual,"38,885 km",1st Owner,Petrol,"?9,78,599",,,,,,
2020 Maruti S PRESSO,VXI PLUS Manual,Manual,"19,193 km",1st Owner,Petrol,"?4,26,699",,,,,,
2015 Mahindra Scorpio,S10 Manual,Manual,"43,954 km",1st Owner,Diesel,"?10,04,399",,,,,,
2017 Maruti Baleno,ZETA 1.2 K12 Manual,Manual,"57,436 km",1st Owner,Petrol,"?5,60,499",,,,,,
2017 Maruti Baleno,DELTA 1.2 K12 Manual,Manual,"42,903 km",1st Owner,Petrol,"?5,29,099",,,,,,
2017 Ford Ecosport,1.5 TDCI TITANIUM PLUS Manual,Manual,"42,349 km",1st Owner,Diesel,"?6,48,999",,,,,,
2016 Audi Q3,35TDI PREMIUM Automatic,Automatic,"87,052 km",1st Owner,Diesel,"?17,96,299",,,,,,
2021 Ford Ecosport,1.5TITANIUM TDCI Manual,Manual,"16,751 km",1st Owner,Diesel,"?10,77,799",,,,,,
2020 Maruti Alto,VXI Manual,Manual,"18,261 km",1st Owner,Petrol,"?3,95,899",,,,,,
2015 Audi A6,2.0 TDI TECHNOLOGY Automatic,Automatic,"77,281 km",2nd Owner,Diesel,"?19,49,999",,,,,,
2018 Maruti Alto K10,VXI Manual,Manual,"28,287 km",2nd Owner,Petrol,"?3,75,799",,,,,,
2018 Maruti IGNIS,DELTA 1.2 K12 Manual,Manual,"34,241 km",1st Owner,Petrol,"?5,02,399",,,,,,
2016 Skoda Octavia,2.0 TDI STYLE PLUS AT Automatic,Automatic,"95,993 km",1st Owner,Diesel,"?11,35,999",,,,,,
2018 Maruti Vitara Brezza,VDI Manual,Manual,"44,339 km",1st Owner,Diesel,"?7,25,799",,,,,,
2017 Maruti Baleno,ALPHA DDIS 190 Manual,Manual,"51,429 km",2nd Owner,Diesel,"?5,93,999",,,,,,
2017 Hyundai Creta,1.4 E PLUS CRDI Manual,Manual,"42,720 km",1st Owner,Diesel,"?8,72,799",,,,,,
2019 Maruti S PRESSO,VXI PLUS Manual,Manual,"30,537 km",2nd Owner,Petrol,"?3,90,399",,,,,,
2017 Maruti Baleno,ZETA 1.2 K12 AMT Automatic,Automatic,"72,196 km",1st Owner,Petrol,"?6,26,899",,,,,,
2016 Maruti Swift Dzire,VDI ABS Manual,Manual,"79,736 km",2nd Owner,Diesel,"?5,01,899",,,,,,
2015 Maruti Ciaz,ZDI Manual,Manual,"62,245 km",2nd Owner,Diesel,"?5,31,399",,,,,,
2017 Hyundai Creta,1.4 E PLUS CRDI Manual,Manual,"78,220 km",1st Owner,Diesel,"?7,65,299",,,,,,
2015 Hyundai Elite i20,SPORTZ 1.4 Manual,Manual,"45,778 km",1st Owner,Diesel,"?4,51,999",,,,,,
