Title,primefeatures,Price
Maruti Suzuki S Cross ZETA 1.3 SHVS - 2017,"95,000 kms / Diesel","₹7,85,000 "
Maruti Suzuki Swift VXI BSIII - 2006,"1,17,000 kms / Petrol","₹2,55,000 "
Toyota Fortuner 3.0 AT 4X2 - 2015,"1,36,000 kms / Diesel","₹19,00,000 "
Hyundai Grand i10 Asta 1.2 Kappa VTVT O - 2014,"86,000 kms / Petrol","₹4,45,000 "
Maruti Suzuki Wagon R 1.0 LXi CNG - 2015,"51,951 kms / CNG","₹3,75,000 "
Hyundai i20 Magna O 1.2 - 2013,"35,484 kms / Petrol","₹3,49,999 "
BMW 3 Series 320d Corporate Edition - 2012,"29,907 kms / Diesel","₹8,45,000 "
Honda Mobilio V i DTEC - 2015,"79,434 kms / Diesel","₹5,45,000 "
Maruti Suzuki Wagon R LXI BS IV - 2015,"38,269 kms / Petrol","₹3,49,999 "
Honda Jazz V iDTEC - 2016,"56,745 kms / Diesel","₹5,75,000 "
Honda WRV VX MT Petrol - 2017,"13,530 kms / Petrol","₹7,35,000 "
Renault Duster 85 PS RxL Diesel - 2014,"70,552 kms / Diesel","₹4,45,000 "
Honda City 1.5 V MT - 2018,"50,000 kms / Petrol","₹7,45,000 "
Renault Lodgy 110 PS RXZ 7 STR STEPWAY - 2016,"72,000 kms / Diesel","₹5,75,000 "
Honda City ZX EXi - 2008,"91,400 kms / Petrol","₹1,35,000 "
Mahindra Jeep Classic - 2022,18 kms / Diesel,"₹4,39,000 "
Nissan Sunny XV - 2012,"66,000 kms / Petrol","₹2,95,000 "
Renault Lodgy 85 PS RXZ - 2017,"67,000 kms / Diesel","₹5,65,000 "
Maruti Suzuki Swift Dzire VXi 1.2 BS IV - 2012,"78,000 kms / Petrol","₹3,75,000 "
Toyota Innova 2.5 G4 8 STR - 2009,"1,82,000 kms / Diesel","₹3,80,000 "
Honda City 1.5 EXi New - 2014,"92,000 kms / Petrol","₹6,50,000 "
Mercedes Benz E Class 250 CDI Elegance - 2011,"66,000 kms / Diesel","₹11,00,000 "
Maruti Suzuki Estilo VXi ABS BS IV - 2007,"63,524 kms / Petrol","₹99,000 "
BMW X1 sDrive20d - 2011,"1,35,000 kms / Diesel","₹11,80,000 "
BMW 5 Series 520d Modern Line - 2014,"99,500 kms / Diesel / 1st Owner","₹21,50,000 "
Mercedes Benz S Class S 500 - 2011,"72,000 kms / Petrol / 1st Owner","₹18,75,000 "
Maruti Suzuki Swift VXi 1.2 ABS BS IV - 2016,"50,000 kms / Petrol","₹4,75,000 "
Hyundai i20 Sportz 1.2 BS IV - 2014,"90,000 kms / Petrol","₹3,95,000 "
Hyundai Santro 1.1 SPORTS AMT - 2019,"4,500 kms / Petrol","₹6,15,000 "
Hyundai Creta 1.6 SX Plus Petrol AT - 2019,"29,000 kms / Petrol","₹14,75,000 "
Toyota Corolla Altis VL AT Petrol - 2010,"72,000 kms / Petrol","₹3,75,000 "
Toyota Corolla Altis G Petrol - 2009,"74,000 kms / Petrol","₹2,95,000 "
Maruti Suzuki Baleno RS 1.0 - 2017,"30,000 kms / Petrol","₹5,45,000 "
Toyota Etios VX - 2010,"74,000 kms / CNG","₹2,95,000 "
Maruti Suzuki Wagon R VXi Minor - 2008,"51,000 kms / Petrol","₹1,45,000 "
Maruti Suzuki Wagon R LXi Minor - 2010,"33,000 kms / Petrol","₹1,95,000 "
Maruti Suzuki Baleno DELTA 1.2 K12 AMT - 2019,"27,000 kms / Petrol","₹7,25,000 "
Skoda Octavia LK 1.8 TSI AT - 2018,"53,000 kms / Petrol","₹17,85,000 "
Maruti Suzuki Wagon R - 2005,"32,000 kms / Petrol","₹1,25,000 "
Hyundai i10 Sportz - 2008,"81,000 kms / Petrol","₹1,60,000 "
Honda City - 2006,"1,55,000 kms / Petrol","₹1,25,000 "
Hyundai Santa Fe 4 WD AT - 2012,"1,26,000 kms / Diesel / 2nd Owner","₹7,75,000 "
BMW 3 Series 320d Luxury Line - 2015,"61,000 kms / Diesel / 2nd Owner","₹18,50,000 "
Mercedes Benz C Class 250 CDI Avantgarde - 2011,"75,000 kms / Diesel / 2nd Owner","₹11,90,000 "
Jaguar XF 2.2 Diesel Luxury - 2015,"50,000 kms / Diesel / 1st Owner","₹26,50,000 "
Maruti Suzuki Wagon R VXi Minor - 2017,"51,769 kms / CNG","₹4,45,000 "
Maruti Suzuki Wagon R - 2009,"45,000 kms / Petrol","₹1,55,000 "
Maruti Suzuki Estilo - 2008,"30,000 kms / Petrol","₹1,41,000 "
Maruti Suzuki Wagon R - 2005,"33,000 kms / Petrol","₹1,25,000 "
Mahindra TUV300 T6 Plus - 2016,"85,000 kms / Diesel","₹5,50,000 "
Isuzu D Max V Cross 4x4 - 2018,"90,000 kms / Diesel / 1st Owner","₹20,25,000 "
Mahindra Jeep Classic - 2022,23 kms / Diesel,"₹4,31,000 "
Maruti Suzuki Gypsy King Soft Top - 2022,13 kms / Petrol,"₹5,60,000 "
Mahindra Jeep Classic - 2022,13 kms / Diesel,"₹4,31,000 "
Ford Figo Duratorq Diesel Titanium 1.4 - 2012,"90,000 kms / Diesel / 3rd Owner","₹2,30,000 "
Renault Duster - 2016,"1,22,000 kms / Diesel","₹4,00,000 "
Maruti Suzuki Swift LXi - 2006,"70,000 kms / Petrol / 3rd Owner","₹90,000 "
Hyundai Eon Era Plus LPG - 2018,"40,000 kms / LPG / 1st Owner","₹2,80,000 "
Ford Fiesta Petrol Style - 2007,"1,10,000 kms / Petrol","₹99,990 "
Mahindra Scorpio S10 - 2017,"1,60,000 kms / Diesel","₹11,00,000 "
Mahindra XUV 500 W8 - 2012,"70,000 kms / Diesel","₹7,00,000 "
Mahindra Thar CRDe 4x4 AC - 2018,"13,000 kms / Diesel / 2nd Owner","₹10,00,000 "
Tata Indigo eCS LS CR4 BS IV - 2014,"82,500 kms / Diesel","₹1,20,000 "
Maruti Suzuki Swift Dzire LDi - 2018,"90,000 kms / Diesel","₹5,50,000 "
Kia Sonet - 2021,"20,000 kms / Diesel","₹11,00,000 "
BMW X1 sDrive20d Sport Line - 2012,"56,000 kms / Diesel","₹12,00,000 "
Hyundai i20 Active 1.4 SX - 2017,"52,000 kms / Diesel","₹6,40,000 "
Tata Indica Vista Aura 1.2 Safire - 2009,"65,000 kms / Petrol","₹99,000 "
Maruti Suzuki Vitara Brezza ZDI AMT - 2019,"23,586 kms / Diesel","₹10,00,000 "
Mahindra XUV 500 - 2012,"91,878 kms / Diesel","₹5,99,999 "
Maruti Suzuki Dzire VDI AMT - 2017,"48,000 kms / Diesel","₹7,00,000 "
Tata Indigo eCS VX CR4 BS IV - 2012,"1,00,000 kms / Diesel / 2nd Owner","₹1,00,000 "
Toyota Innova 2.5 V 7 STR - 2005,"95,000 kms / Diesel","₹3,75,000 "
Hyundai Santro Xing GLS CNG - 2012,"72,000 kms / Petrol / 3rd Owner","₹2,00,000 "
Maruti Suzuki OMNI E 8 STR - 2003,"45,000 kms / Petrol / 1st Owner","₹1,25,000 "
Chevrolet Spark - 2009,"1,15,000 kms / Petrol","₹70,000 "
Mahindra XUV 500 W6 - 2014,"85,000 kms / Diesel / 2nd Owner","₹5,28,000 "
Mercedes Benz M Class ML 250 CDI - 2015,"79,000 kms / Diesel","₹25,00,000 "
Renault Kwid RXT - 2017,"56,000 kms / Petrol","₹3,10,000 "
Honda BRV 1.5 i DTEC S - 2018,"47,000 kms / Diesel / 1st Owner","₹6,70,000 "
Fiat Linea Classic 1.3 L Multijet Classic - 2013,"75,000 kms / Diesel","₹3,00,000 "
Mahindra Bolero DI - 2014,"45,000 kms / Diesel","₹4,75,000 "
Chevrolet Sail 1.2 LS ABS - 2015,"63,000 kms / Petrol","₹3,00,000 "
Tata Indigo CS eLS BS IV - 2014,"68,000 kms / Diesel","₹2,40,000 "
Renault Kwid RXE Opt - 2017,"35,000 kms / Petrol","₹2,50,000 "
Tata Safari 4x2 LX DICOR BS IV - 2012,"70,000 kms / Diesel / 1st Owner","₹3,00,000 "
Ford Fiesta Petrol Titanium - 2007,"1,10,000 kms / Petrol","₹1,15,000 "
Maruti Suzuki Dzire LXI - 2021,"24,000 kms / Petrol / 1st Owner","₹7,20,000 "
Ford Fiesta 1.4 Duratorq EXI - 2010,"95,000 kms / Diesel","₹2,25,000 "
Renault Duster 110 PS RxL - 2017,"21,700 kms / Petrol","₹7,25,000 "
Audi A4 2.0 TDI 177bhp Premium Sport - 2013,"90,000 kms / Diesel","₹9,45,000 "
Tata Indica eV2 LS - 2016,"1,00,000 kms / Hybrid","₹1,90,000 "
Tata Indigo CS - 2013,"99,000 kms / Diesel","₹1,12,000 "
Maruti Suzuki Eeco 5 STR WITH AC HTR CNG - 2013,"1,95,000 kms / CNG","₹2,70,000 "
Hyundai Santro 1.1 MAGNA MT - 2019,"25,000 kms / Petrol","₹4,50,000 "
