Title,primefeatures,Price
Maruti Suzuki Vitara Brezza VDi - 2018,"75,000 kms / Diesel","₹8,50,000 "
Maruti Suzuki Eeco 5 STR WITH AC HTR CNG - 2017,"30,754 kms / CNG","₹4,55,000 "
Maruti Suzuki Ertiga VXI SMART HYBRID - 2019,"53,000 kms / Petrol","₹8,50,000 "
Maruti Suzuki Ciaz DELTA 1.4 VVT - 2022,"3,900 kms / Petrol","₹9,00,000 "
Maruti Suzuki Alto LXi BS III - 2012,"50,000 kms / CNG","₹1,75,000 "
Maruti Suzuki Wagon R LXI BS IV - 2021,"50,000 kms / CNG","₹6,15,000 "
Maruti Suzuki Swift VXI BSIII with ABS - 2020,"22,000 kms / Petrol","₹6,10,000 "
Toyota Innova 2.5 VX 7 STR BS IV - 2014,"92,000 kms / Diesel","₹7,00,000 "
Maruti Suzuki Wagon R 1.0 LXi CNG Avance LE - 2021,"34,000 kms / CNG","₹6,25,000 "
Maruti Suzuki Wagon R 1.0 LXi CNG Avance LE - 2019,"32,000 kms / CNG","₹5,50,000 "
Renault Triber 1.0 RXZ - 2021,"22,000 kms / Petrol","₹7,25,000 "
Maruti Suzuki Wagon R 1.0 LXi CNG Avance LE - 2017,"59,275 kms / CNG","₹3,60,000 "
Volkswagen Polo HIGHLINE1.5L DIESEL - 2015,"75,000 kms / Diesel","₹3,75,000 "
Skoda Superb Elegance 1.8 TSI AT - 2012,"95,000 kms / Petrol","₹3,75,000 "
Toyota Etios VD - 2014,"1,07,000 kms / Diesel","₹4,60,000 "
Hyundai i10 Magna 1.2 - 2011,"62,000 kms / CNG","₹1,75,000 "
Mahindra Quanto C8 - 2013,"85,000 kms / Diesel","₹3,50,000 "
Mahindra TUV300 T6 Plus - 2016,"85,000 kms / Diesel","₹5,25,000 "
Maruti Suzuki SX4 ZXI MT LEATHER BS IV - 2008,"69,000 kms / Petrol / 2nd Owner","₹1,45,000 "
Toyota Corolla Altis 1.8 VL AT - 2009,"1,05,000 kms / Petrol","₹2,68,000 "
Ford EcoSport Titanium 1.5L Ti VCT AT - 2021,"9,500 kms / Petrol","₹11,25,000 "
Maruti Suzuki Alto 800 Lxi - 2019,"3,720 kms / Petrol / 1st Owner","₹3,36,000 "
Maruti Suzuki Ciaz ZXi AT - 2015,"46,500 kms / Petrol / 2nd Owner","₹6,10,000 "
Honda Amaze 1.5 VX i DTEC - 2019,"54,000 kms / Diesel","₹7,15,000 "
Honda City ZX GXi - 2008,"85,000 kms / Petrol","₹1,50,000 "
Maruti Suzuki Eeco 5 STR WITH HTR CNG - 2013,"70,000 kms / CNG","₹2,50,000 "
Volkswagen Polo New - 2011,"51,000 kms / Petrol","₹2,40,000 "
Toyota Etios G - 2015,"56,000 kms / Petrol","₹3,99,999 "
Ssangyong Rexton RX7 - 2013,"91,000 kms / Diesel","₹4,25,000 "
Volkswagen Polo Petrol Breeze - 2013,"75,000 kms / Petrol","₹3,00,000 "
Nissan Terrano XL D Plus - 2014,"1,16,000 kms / Diesel / 1st Owner","₹3,50,000 "
Toyota Innova 2.5 VX 8 STR - 2012,"1,70,000 kms / Diesel","₹5,25,000 "
Toyota Innova 2.5 GX 7 STR BS IV - 2013,"59,200 kms / Diesel","₹7,40,000 "
Toyota Corolla Altis VL AT Petrol - 2009,"69,000 kms / Petrol / 2nd Owner","₹2,80,000 "
BMW 5 Series 520d - 2010,"1,00,000 kms / Diesel","₹6,20,000 "
Honda City ZX EXi - 2008,"60,000 kms / CNG","₹1,48,000 "
Toyota Innova 2.5 G4 7 STR - 2012,"1,24,000 kms / Diesel","₹3,40,000 "
Renault Duster - 2013,"43,000 kms / Diesel","₹3,10,000 "
Maruti Suzuki Wagon R - 2009,"10,000 kms / CNG","₹1,00,000 "
Maruti Suzuki Swift Dzire - 2020,"20,000 kms / Petrol","₹5,65,000 "
Mahindra Thar CRDe 4x4 AC - 2020,"20,000 kms / Diesel","₹10,00,000 "
Honda CRV 2.4L 4WD AVN - 2007,"68,000 kms / Petrol","₹2,00,000 "
Maruti Suzuki Wagon R LXi Minor - 2019,"52,800 kms / CNG","₹5,70,000 "
Hyundai Accent - 2008,"57,000 kms / Petrol / 1st Owner","₹99,000 "
Maruti Suzuki Baleno Zeta AT 1.2 - 2022,10 kms / CNG / 1st Owner,Ask For Price
Maruti Suzuki Swift VXi - 2010,"62,000 kms / Petrol / 2nd Owner","₹1,80,000 "
Audi A4 2.0 TDI 177bhp Premium Plus - 2012,"95,432 kms / Diesel","₹13,90,000 "
Maruti Suzuki SX4 ZDi - 2014,"61,234 kms / Diesel","₹5,40,000 "
Mahindra Jeep MM540 - 2022,162 kms / Diesel,"₹4,49,000 "
Mahindra Jeep Classic - 2022,23 kms / Diesel,"₹4,32,000 "
Kia Sonet - 2020,"12,400 kms / Diesel","₹14,50,000 "
Chevrolet Spark LS 1.0 - 2010,"98,000 kms / LPG","₹1,50,000 "
Ford Fusion Plus 1.4 TDCi Diesel - 2009,"1,00,000 kms / Diesel","₹1,00,000 "
Honda Accord 2.4 VTi L AT - 2008,"67,000 kms / Petrol / 2nd Owner","₹3,00,000 "
BMW X1 sDrive20d xLine - 2019,"1,00,000 kms / Diesel","₹22,90,000 "
Daewoo Matiz SG - 2000,"81,000 kms / Petrol","₹85,000 "
BMW X5 xDrive 30d - 2014,"1,87,654 kms / Diesel","₹22,90,000 "
Maruti Suzuki Alto K10 - 2010,"78,000 kms / Petrol","₹2,55,000 "
BMW 3 Series GT 320d GT Luxury Line - 2018,"96,507 kms / Diesel","₹28,90,000 "
Audi A6 35 TDI S LINE - 2017,"59,876 kms / Diesel","₹33,90,000 "
Mahindra Logan Diesel 1.5 DLX - 2009,"91,200 kms / Diesel / 1st Owner","₹2,75,000 "
Ford Figo Diesel Titanium - 2011,"52,000 kms / Diesel / 2nd Owner","₹2,60,000 "
Audi A3 35 TDI Premium - 2017,"1,00,000 kms / Diesel","₹15,50,000 "
Maruti Suzuki Ciaz ZDi - 2015,"1,34,900 kms / Diesel / 1st Owner","₹6,45,000 "
Hyundai Elite i20 Asta 1.2 - 2018,"17,000 kms / Petrol","₹7,60,000 "
Hyundai Creta 1.6 SX Plus Petrol AT - 2018,"75,000 kms / Petrol","₹11,95,000 "
Ford Figo Duratorq Diesel ZXI 1.4 - 2011,"1,45,000 kms / Diesel","₹1,95,000 "
Ford Figo - 2011,"69,500 kms / Petrol / 3rd Owner","₹2,30,000 "
Mercedes Benz GLA Class 200 CDI Style - 2016,"39,642 kms / Diesel","₹19,90,000 "
BMW 5 Series 525d - 2013,"84,321 kms / Diesel","₹17,90,000 "
Audi Q3 2.0 TDI quattro Premium Plus - 2014,"73,456 kms / Diesel","₹16,90,000 "
